step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,CASH_IN,CASH_OUT,DEBIT,PAYMENT,TRANSFER
238.0,PAYMENT,2176.51,C561192146,0.0,0.0,M1548538656,0.0,0.0,0.0,0,0,0,1,0
153.0,TRANSFER,687441.56,C1828158523,0.0,0.0,C1030967461,1423880.98,2111322.53,0.0,0,0,0,0,1
230.0,PAYMENT,4782.67,C841801710,0.0,0.0,M828547560,0.0,0.0,0.0,0,0,0,1,0
131.0,CASH_OUT,27180.83,C1141499191,0.0,0.0,C489416530,2777822.0,2805002.83,0.0,0,1,0,0,0
13.0,CASH_IN,109438.09,C1650266034,18.0,109456.09,C1054191972,0.0,0.0,0.0,1,0,0,0,0
254.0,CASH_OUT,17940.28,C228524160,24.0,0.0,C1254472989,82479.0,100419.28,0.0,0,1,0,0,0
137.0,TRANSFER,266123.4,C220550537,0.0,0.0,C1253030825,2364104.23,2630227.62,0.0,0,0,0,0,1
33.0,CASH_IN,186187.79,C222590422,81255.0,267442.79,C2056936796,1529686.49,1343498.7,0.0,1,0,0,0,0
12.0,CASH_IN,281996.79,C776102388,3945981.35,4227978.14,C462562773,837073.27,703292.59,0.0,1,0,0,0,0
323.0,PAYMENT,26218.35,C304088979,0.0,0.0,M1732532300,0.0,0.0,0.0,0,0,0,1,0
251.0,TRANSFER,1003891.89,C1968645348,105583.0,0.0,C1618662706,366348.31,1370240.2,0.0,0,0,0,0,1
19.0,TRANSFER,510084.27,C1364056912,0.0,0.0,C134623499,1558989.1,2069073.37,0.0,0,0,0,0,1
492.0,CASH_IN,147305.49,C1368787589,9921.0,157226.49,C1223625810,978418.78,831113.28,0.0,1,0,0,0,0
297.0,CASH_OUT,47212.04,C1519258289,117059.0,69846.96,C1002893558,167537.08,214749.11,0.0,0,1,0,0,0
325.0,CASH_IN,307288.27,C811451580,20322.0,327610.27,C2075598173,0.0,0.0,0.0,1,0,0,0,0
184.0,PAYMENT,2512.41,C400175250,0.0,0.0,M1218773894,0.0,0.0,0.0,0,0,0,1,0
37.0,CASH_OUT,82632.08,C199661604,0.0,0.0,C565313024,1252902.66,1335534.75,0.0,0,1,0,0,0
402.0,PAYMENT,12386.21,C152775005,0.0,0.0,M20181193,0.0,0.0,0.0,0,0,0,1,0
137.0,TRANSFER,773515.13,C1104861076,37757.0,0.0,C2002405097,19111.35,792626.48,0.0,0,0,0,0,1
17.0,PAYMENT,26037.99,C1706475667,15623.0,0.0,M1644837585,0.0,0.0,0.0,0,0,0,1,0
403.0,PAYMENT,22954.52,C463927081,8118.7,0.0,M2008986584,0.0,0.0,0.0,0,0,0,1,0
161.0,CASH_OUT,3481.49,C417332106,0.0,0.0,C1683666309,360276.76,363758.25,0.0,0,1,0,0,0
19.0,CASH_OUT,27383.68,C956998647,0.0,0.0,C1538125111,3456009.68,3617586.85,0.0,0,1,0,0,0
277.0,CASH_OUT,147122.66,C977109823,0.0,0.0,C711192791,956492.37,1103615.03,0.0,0,1,0,0,0
279.0,CASH_IN,84569.4,C524505755,540710.96,625280.37,C1298206327,1853127.3,1768557.9,0.0,1,0,0,0,0
375.0,CASH_OUT,272.92,C1811416396,11694.0,11421.08,C1184286050,6694238.92,6694511.84,0.0,0,1,0,0,0
405.0,CASH_OUT,219628.44,C1118882903,0.0,0.0,C1640187122,1237984.33,1457612.76,0.0,0,1,0,0,0
354.0,CASH_OUT,132676.2,C2007743382,0.0,0.0,C748775332,241457.38,374133.58,0.0,0,1,0,0,0
41.0,CASH_OUT,38593.53,C111111494,0.0,0.0,C1642885670,579955.76,618549.29,0.0,0,1,0,0,0
381.0,PAYMENT,10740.15,C1176282939,12326.0,1585.85,M495069350,0.0,0.0,0.0,0,0,0,1,0
215.0,PAYMENT,7863.66,C168848423,266.0,0.0,M1384745153,0.0,0.0,0.0,0,0,0,1,0
393.0,CASH_OUT,360233.37,C1175168895,4778.01,0.0,C74410593,781299.48,1141532.85,0.0,0,1,0,0,0
397.0,CASH_OUT,214558.99,C216993719,19820.0,0.0,C1289797412,866976.12,1081535.11,0.0,0,1,0,0,0
263.0,PAYMENT,6225.98,C454219439,19117.0,12891.02,M1805347643,0.0,0.0,0.0,0,0,0,1,0
158.0,CASH_OUT,66237.61,C1271222153,0.0,0.0,C2143085068,217803.38,323142.09,0.0,0,1,0,0,0
229.0,CASH_OUT,72978.58,C988344395,27865.0,0.0,C903493914,69850.19,142828.76,0.0,0,1,0,0,0
346.0,CASH_OUT,21133.81,C415655897,0.0,0.0,C930108416,31889.86,53023.67,0.0,0,1,0,0,0
229.0,PAYMENT,11084.25,C12190707,7416.67,0.0,M581313962,0.0,0.0,0.0,0,0,0,1,0
36.0,CASH_OUT,248515.24,C2016897863,0.0,0.0,C1322244822,348409.79,596925.03,0.0,0,1,0,0,0
12.0,CASH_OUT,217651.9,C1985584456,20960.0,0.0,C408553489,505298.31,722950.21,0.0,0,1,0,0,0
275.0,CASH_OUT,220077.19,C1982071152,759.0,0.0,C1367036741,874619.08,1094696.26,0.0,0,1,0,0,0
181.0,CASH_IN,176074.95,C774071352,3014596.14,3190671.09,C1402840875,340619.95,164545.0,0.0,1,0,0,0,0
522.0,CASH_OUT,10732.33,C182035657,0.0,0.0,C640815327,96538.77,107271.1,0.0,0,1,0,0,0
19.0,CASH_OUT,197681.74,C1818545996,162.0,0.0,C1144850308,0.0,248677.41,0.0,0,1,0,0,0
299.0,PAYMENT,15559.14,C1851686154,0.0,0.0,M828635969,0.0,0.0,0.0,0,0,0,1,0
211.0,PAYMENT,3810.07,C1690896841,83713.86,79903.8,M1903645358,0.0,0.0,0.0,0,0,0,1,0
227.0,PAYMENT,57052.7,C732201988,14688.0,0.0,M1394499361,0.0,0.0,0.0,0,0,0,1,0
329.0,CASH_IN,50958.08,C1374015699,4314048.65,4365006.73,C1879987609,9408135.48,9357177.4,0.0,1,0,0,0,0
347.0,CASH_IN,66082.85,C514315587,9035020.51,9101103.36,C867733159,108381.63,42298.78,0.0,1,0,0,0,0
375.0,PAYMENT,3709.36,C683880574,0.0,0.0,M2133152985,0.0,0.0,0.0,0,0,0,1,0
130.0,TRANSFER,961729.97,C1982492227,2006.0,0.0,C118136684,4211676.35,5173406.32,0.0,0,0,0,0,1
306.0,PAYMENT,16762.12,C1074325255,0.0,0.0,M1343113517,0.0,0.0,0.0,0,0,0,1,0
182.0,PAYMENT,3288.05,C977940641,0.0,0.0,M503440905,0.0,0.0,0.0,0,0,0,1,0
203.0,CASH_OUT,346442.54,C533400200,52819.0,0.0,C1715798094,959178.6,1305621.13,0.0,0,1,0,0,0
250.0,CASH_IN,236079.32,C443767920,860.0,236939.32,C683588348,0.0,0.0,0.0,1,0,0,0,0
256.0,TRANSFER,91194.92,C584950141,20097.0,0.0,C1691894495,365304.9,456499.82,0.0,0,0,0,0,1
212.0,CASH_IN,64619.71,C299094131,22236.99,86856.7,C161360446,613658.46,549038.75,0.0,1,0,0,0,0
17.0,PAYMENT,10078.66,C2001272506,0.0,0.0,M677506967,0.0,0.0,0.0,0,0,0,1,0
545.0,CASH_OUT,479489.84,C595439933,0.0,0.0,C1065182247,2227780.44,2707270.29,0.0,0,1,0,0,0
134.0,PAYMENT,16786.38,C442960256,120024.33,103237.94,M1322756205,0.0,0.0,0.0,0,0,0,1,0
41.0,PAYMENT,3735.99,C987496215,1959.15,0.0,M13963799,0.0,0.0,0.0,0,0,0,1,0
239.0,PAYMENT,8757.67,C831855010,19452.0,10694.33,M617339790,0.0,0.0,0.0,0,0,0,1,0
154.0,CASH_OUT,37328.38,C1426170733,0.0,0.0,C1785908232,60790.94,98119.32,0.0,0,1,0,0,0
253.0,CASH_IN,23304.19,C1231469283,451648.35,474952.54,C1835737020,606127.71,582823.52,0.0,1,0,0,0,0
283.0,TRANSFER,440719.32,C615488879,49992.0,0.0,C274301485,0.0,440719.32,0.0,0,0,0,0,1
275.0,CASH_OUT,118510.22,C2066435120,0.0,0.0,C1518997773,794258.83,912769.04,0.0,0,1,0,0,0
43.0,CASH_OUT,99623.16,C485301509,0.0,0.0,C279960149,238742.05,338365.21,0.0,0,1,0,0,0
298.0,CASH_OUT,237939.01,C1316799592,115214.0,0.0,C1359982289,5427497.72,5665436.73,0.0,0,1,0,0,0
301.0,CASH_IN,35719.99,C130422196,99189.0,134908.99,C1576885104,21036.1,0.0,0.0,1,0,0,0,0
183.0,PAYMENT,5334.95,C1905050766,0.0,0.0,M196541338,0.0,0.0,0.0,0,0,0,1,0
158.0,PAYMENT,136.44,C1776246804,50360.0,50223.56,M717063879,0.0,0.0,0.0,0,0,0,1,0
93.0,PAYMENT,56.09,C1153591226,0.0,0.0,M1916177199,0.0,0.0,0.0,0,0,0,1,0
280.0,PAYMENT,4069.68,C1716345617,16151.0,12081.32,M1202226103,0.0,0.0,0.0,0,0,0,1,0
137.0,CASH_OUT,562399.27,C1740414040,99971.0,0.0,C1717206270,678791.53,1241190.8,0.0,0,1,0,0,0
11.0,CASH_OUT,495030.35,C954560453,10543.0,0.0,C510299393,189615.23,1331599.22,0.0,0,1,0,0,0
394.0,TRANSFER,542707.84,C730670498,0.0,0.0,C76893202,2797804.0,2939088.02,0.0,0,0,0,0,1
306.0,CASH_OUT,331732.92,C936017388,0.0,0.0,C429092423,2856836.73,3188569.65,0.0,0,1,0,0,0
232.0,CASH_OUT,160342.43,C1427759208,0.0,0.0,C619573784,352010.33,512352.77,0.0,0,1,0,0,0
393.0,CASH_OUT,91222.06,C2106037800,202.84,0.0,C1856242773,155237.64,246459.69,0.0,0,1,0,0,0
306.0,TRANSFER,187700.61,C2146175958,0.0,0.0,C1559289834,2753730.38,2941430.98,0.0,0,0,0,0,1
237.0,TRANSFER,997332.96,C2061290112,0.0,0.0,C2137629917,1013629.55,2010962.51,0.0,0,0,0,0,1
180.0,CASH_OUT,19808.29,C1236790800,118581.0,98772.71,C1620683242,2059876.85,2079685.14,0.0,0,1,0,0,0
405.0,TRANSFER,557165.59,C1878884465,0.0,0.0,C26473808,770476.49,1327642.08,0.0,0,0,0,0,1
185.0,CASH_IN,60967.87,C160254274,1568821.69,1629789.57,C1488656789,542359.52,481391.65,0.0,1,0,0,0,0
544.0,PAYMENT,27358.57,C930930117,20417.0,0.0,M1056591396,0.0,0.0,0.0,0,0,0,1,0
230.0,PAYMENT,18677.98,C1249697279,30033.0,11355.02,M104848287,0.0,0.0,0.0,0,0,0,1,0
324.0,CASH_OUT,344741.78,C1054261247,0.0,0.0,C518483639,572546.86,917288.63,0.0,0,1,0,0,0
276.0,PAYMENT,12193.63,C2059199153,6036.0,0.0,M1291997627,0.0,0.0,0.0,0,0,0,1,0
202.0,CASH_OUT,112303.64,C760118268,102769.0,0.0,C1076434252,329522.89,441826.53,0.0,0,1,0,0,0
42.0,CASH_IN,303064.89,C1777299659,4682656.78,4985721.67,C490771391,1816913.22,1513848.34,0.0,1,0,0,0,0
166.0,CASH_OUT,536427.17,C1621620664,0.0,0.0,C1238904328,2443149.44,2979576.61,0.0,0,1,0,0,0
253.0,TRANSFER,690755.96,C257758744,0.0,0.0,C7585006,1886887.87,2577643.82,0.0,0,0,0,0,1
9.0,CASH_OUT,241904.01,C15958918,107701.8,0.0,C701279123,324495.58,266250.58,0.0,0,1,0,0,0
354.0,CASH_OUT,300317.99,C1256889896,0.0,0.0,C111007175,305124.09,605442.08,0.0,0,1,0,0,0
398.0,PAYMENT,11916.84,C27062921,325919.89,314003.05,M343015485,0.0,0.0,0.0,0,0,0,1,0
235.0,PAYMENT,9049.81,C1488680015,0.0,0.0,M772224835,0.0,0.0,0.0,0,0,0,1,0
304.0,CASH_OUT,277687.3,C1673868064,0.0,0.0,C240837229,296452.55,574139.85,0.0,0,1,0,0,0
349.0,CASH_IN,164403.25,C78251240,663078.11,827481.36,C604198352,319007.43,154604.17,0.0,1,0,0,0,0
380.0,PAYMENT,3295.58,C813499693,10354.0,7058.42,M1791594533,0.0,0.0,0.0,0,0,0,1,0
232.0,CASH_IN,197090.61,C2101285021,15217.0,212307.61,C1696214422,9073449.65,8876359.04,0.0,1,0,0,0,0
164.0,CASH_OUT,189461.27,C1171129551,0.0,0.0,C1966790388,2896925.52,3086386.79,0.0,0,1,0,0,0
252.0,CASH_IN,103060.59,C22138048,2346447.46,2449508.05,C1023947589,2178475.23,2075414.64,0.0,1,0,0,0,0
13.0,PAYMENT,4522.69,C1926210366,49958.0,45435.31,M176049118,0.0,0.0,0.0,0,0,0,1,0
232.0,CASH_OUT,550422.37,C1125817321,5571.0,0.0,C297205372,418090.15,968512.51,0.0,0,1,0,0,0
134.0,PAYMENT,34344.69,C1810351604,4228.97,0.0,M1986463495,0.0,0.0,0.0,0,0,0,1,0
404.0,CASH_IN,80825.83,C876414021,156620.1,237445.93,C1880029471,225512.02,144686.19,0.0,1,0,0,0,0
7.0,TRANSFER,161197.69,C1014141231,39046.0,0.0,C571435580,693878.31,1530653.61,0.0,0,0,0,0,1
538.0,CASH_IN,50887.11,C523057604,7063235.83,7114122.93,C1619098607,95421.67,44534.56,0.0,1,0,0,0,0
279.0,TRANSFER,361487.04,C803332401,0.0,0.0,C601673561,1064222.22,1425709.26,0.0,0,0,0,0,1
305.0,TRANSFER,1422756.22,C61482479,0.0,0.0,C397567864,10635312.19,12058068.41,0.0,0,0,0,0,1
134.0,CASH_OUT,340704.12,C1092470082,0.0,0.0,C1352790904,3930582.46,4335206.94,0.0,0,1,0,0,0
33.0,PAYMENT,2777.88,C750655255,105548.0,102770.12,M2060864027,0.0,0.0,0.0,0,0,0,1,0
258.0,CASH_IN,180445.34,C1816432640,31089.0,211534.34,C1181927915,0.0,0.0,0.0,1,0,0,0,0
259.0,CASH_OUT,281521.53,C956332500,19018.0,0.0,C1007195649,0.0,281521.53,0.0,0,1,0,0,0
307.0,CASH_OUT,149330.36,C1929292322,512436.0,363105.64,C1495306762,2194505.46,2343835.83,0.0,0,1,0,0,0
7.0,TRANSFER,1658697.08,C1331353271,0.0,0.0,C1850180796,5943818.49,7837942.9,0.0,0,0,0,0,1
13.0,CASH_OUT,235123.08,C2127046356,170986.0,0.0,C60097336,762005.54,997128.63,0.0,0,1,0,0,0
306.0,CASH_IN,305036.01,C1675515978,636255.07,941291.08,C226404252,1045529.0,740492.99,0.0,1,0,0,0,0
46.0,CASH_OUT,96388.99,C1257926414,2159.0,0.0,C1958956278,0.0,96388.99,0.0,0,1,0,0,0
235.0,CASH_OUT,54246.17,C480552915,15181.0,0.0,C519003016,570931.67,625177.83,0.0,0,1,0,0,0
208.0,CASH_OUT,90081.43,C322309229,5087.0,0.0,C839800846,3491.05,93572.49,0.0,0,1,0,0,0
18.0,PAYMENT,2775.8,C507758527,4310.97,1535.18,M1431038677,0.0,0.0,0.0,0,0,0,1,0
132.0,CASH_OUT,29745.83,C32776286,14904.0,0.0,C1166653623,0.0,29745.83,0.0,0,1,0,0,0
163.0,CASH_OUT,39241.48,C131316824,67565.0,28323.52,C1216239401,1122757.41,1161998.89,0.0,0,1,0,0,0
132.0,CASH_OUT,134882.12,C723901204,0.0,0.0,C1263357032,3675350.69,3810232.81,0.0,0,1,0,0,0
209.0,PAYMENT,7436.17,C758307956,257109.0,249672.83,M1625625907,0.0,0.0,0.0,0,0,0,1,0
161.0,CASH_OUT,248238.09,C811473057,13586.55,0.0,C72798591,870617.54,1118855.62,0.0,0,1,0,0,0
15.0,DEBIT,4129.5,C280072500,257737.45,253607.95,C720356665,3002873.87,3007003.37,0.0,0,0,1,0,0
327.0,TRANSFER,944942.43,C2018094136,0.0,0.0,C1946986858,3136974.86,4081917.29,0.0,0,0,0,0,1
352.0,CASH_OUT,105211.61,C2053922714,34165.0,0.0,C1862352921,495323.79,600535.4,0.0,0,1,0,0,0
227.0,CASH_OUT,223649.37,C1300712692,12462.0,0.0,C1925568363,283710.73,507360.1,0.0,0,1,0,0,0
694.0,CASH_OUT,53119.75,C1585584603,0.0,0.0,C1190016979,219075.61,272195.35,0.0,0,1,0,0,0
188.0,CASH_OUT,105719.41,C1841876470,0.0,0.0,C1814790608,523932.72,629652.13,0.0,0,1,0,0,0
44.0,PAYMENT,20089.9,C713724120,0.0,0.0,M543407663,0.0,0.0,0.0,0,0,0,1,0
659.0,CASH_OUT,152747.14,C1080115113,2131.0,0.0,C2101393160,303784.63,456531.77,0.0,0,1,0,0,0
378.0,CASH_OUT,131903.28,C1316233627,0.0,0.0,C292814238,259805.99,391709.26,0.0,0,1,0,0,0
168.0,PAYMENT,6123.82,C1335934937,697461.0,691337.18,M1242077623,0.0,0.0,0.0,0,0,0,1,0
349.0,PAYMENT,7764.74,C1410620711,10435.0,2670.26,M1958833185,0.0,0.0,0.0,0,0,0,1,0
205.0,TRANSFER,659369.1,C148079277,9548.0,0.0,C1118969037,0.0,659369.1,0.0,0,0,0,0,1
255.0,CASH_IN,122711.82,C847647718,589600.54,712312.36,C1664986169,757720.02,635008.2,0.0,1,0,0,0,0
14.0,PAYMENT,21220.71,C703943772,0.0,0.0,M1831686490,0.0,0.0,0.0,0,0,0,1,0
179.0,CASH_IN,341510.16,C795732873,28445.0,369955.16,C844724499,50700.15,0.0,0.0,1,0,0,0,0
15.0,PAYMENT,11528.33,C1550456800,0.0,0.0,M1540815262,0.0,0.0,0.0,0,0,0,1,0
47.0,PAYMENT,8203.56,C1669962831,298.0,0.0,M1454076272,0.0,0.0,0.0,0,0,0,1,0
596.0,CASH_IN,18300.12,C277751957,11436.0,29736.12,C1510181924,3519140.73,3500840.61,0.0,1,0,0,0,0
141.0,PAYMENT,5371.37,C1323855854,20346.0,14974.63,M1088901882,0.0,0.0,0.0,0,0,0,1,0
332.0,CASH_OUT,69878.14,C1723289480,201359.64,131481.5,C993407583,0.0,69878.14,0.0,0,1,0,0,0
402.0,CASH_IN,136870.61,C1910076315,30858.0,167728.61,C1368425554,0.0,0.0,0.0,1,0,0,0,0
134.0,CASH_OUT,96248.54,C182230038,61845.05,0.0,C1593953931,968986.42,1065234.96,0.0,0,1,0,0,0
350.0,CASH_OUT,106684.45,C1586539263,111789.0,5104.55,C1455262093,6122526.81,6229211.26,0.0,0,1,0,0,0
13.0,CASH_IN,320722.36,C1492317701,10235.0,330957.36,C1519716618,1105391.29,784668.93,0.0,1,0,0,0,0
280.0,CASH_OUT,161949.38,C930397212,5622.0,0.0,C241289626,526308.61,688257.99,0.0,0,1,0,0,0
300.0,CASH_IN,406869.11,C128624267,217746.0,624615.11,C2117039844,1697567.5,1290698.39,0.0,1,0,0,0,0
401.0,CASH_OUT,142256.44,C1565731875,0.0,0.0,C1321155070,742282.27,884538.7,0.0,0,1,0,0,0
210.0,CASH_IN,150494.63,C1186680113,5953170.84,6103665.47,C69148695,1007259.39,856764.76,0.0,1,0,0,0,0
207.0,CASH_OUT,305258.56,C618781278,48923.0,0.0,C572074996,0.0,305258.56,0.0,0,1,0,0,0
354.0,PAYMENT,20782.05,C298497550,3702.0,0.0,M1309730870,0.0,0.0,0.0,0,0,0,1,0
239.0,PAYMENT,4351.62,C1686275556,6641.0,2289.38,M1150417643,0.0,0.0,0.0,0,0,0,1,0
235.0,CASH_OUT,91123.78,C1357059166,75390.0,0.0,C1514273757,200737.63,291861.41,0.0,0,1,0,0,0
448.0,CASH_IN,121028.22,C1524726217,69923.0,190951.22,C1244727194,4599985.24,4478957.02,0.0,1,0,0,0,0
278.0,PAYMENT,9621.83,C507566785,0.0,0.0,M2065484924,0.0,0.0,0.0,0,0,0,1,0
133.0,CASH_OUT,297438.89,C724894981,21065.0,0.0,C41376361,74470.27,371909.15,0.0,0,1,0,0,0
204.0,CASH_OUT,221136.86,C1180878658,0.0,0.0,C1243157780,742679.33,963816.19,0.0,0,1,0,0,0
401.0,TRANSFER,865939.54,C982265937,9910.0,0.0,C425875794,172288.1,844854.23,0.0,0,0,0,0,1
357.0,TRANSFER,1704349.36,C1607358245,0.0,0.0,C1610850726,2042006.67,3746356.03,0.0,0,0,0,0,1
394.0,PAYMENT,32064.64,C1629939802,0.0,0.0,M1766596633,0.0,0.0,0.0,0,0,0,1,0
201.0,CASH_IN,104375.76,C2124966262,32337.06,136712.82,C1225838289,295320.22,190944.46,0.0,1,0,0,0,0
398.0,CASH_OUT,104276.6,C509797497,39661.0,0.0,C323995830,33840.69,138117.29,0.0,0,1,0,0,0
13.0,PAYMENT,11606.65,C1196841498,972.0,0.0,M235186192,0.0,0.0,0.0,0,0,0,1,0
154.0,CASH_OUT,31864.87,C1729116807,0.0,0.0,C30080770,1564964.78,1596829.65,0.0,0,1,0,0,0
156.0,CASH_OUT,133645.97,C204560506,25875.0,0.0,C1845209400,0.0,133645.97,0.0,0,1,0,0,0
161.0,CASH_IN,162913.78,C205465148,7371286.69,7534200.46,C1750702807,834022.34,671108.56,0.0,1,0,0,0,0
235.0,PAYMENT,5497.7,C2102026926,0.0,0.0,M1035495406,0.0,0.0,0.0,0,0,0,1,0
141.0,CASH_IN,90968.65,C1311231286,151.0,91119.65,C27731564,3839896.15,3748927.5,0.0,1,0,0,0,0
259.0,PAYMENT,6686.94,C1607873865,0.0,0.0,M472002015,0.0,0.0,0.0,0,0,0,1,0
203.0,TRANSFER,7935.94,C418007096,0.0,0.0,C1815816956,264523.72,272459.66,0.0,0,0,0,0,1
277.0,CASH_OUT,193250.55,C1542924181,0.0,0.0,C1476778678,1579465.14,1786822.57,0.0,0,1,0,0,0
403.0,CASH_IN,371755.83,C165413824,30384.0,402139.83,C1698363519,0.0,0.0,0.0,1,0,0,0,0
38.0,PAYMENT,22324.48,C1265280290,6026.0,0.0,M1727948503,0.0,0.0,0.0,0,0,0,1,0
44.0,CASH_OUT,289814.33,C1272858449,0.0,0.0,C1582341969,620768.8,910583.13,0.0,0,1,0,0,0
194.0,PAYMENT,1589.64,C1843380451,0.0,0.0,M1550846035,0.0,0.0,0.0,0,0,0,1,0
134.0,CASH_OUT,394207.29,C1144938035,35444.0,0.0,C289330473,533977.05,928184.34,0.0,0,1,0,0,0
333.0,PAYMENT,21555.4,C2040008464,22528.0,972.6,M640782738,0.0,0.0,0.0,0,0,0,1,0
187.0,CASH_OUT,268661.34,C662786796,20133.0,0.0,C1263884947,0.0,268661.34,0.0,0,1,0,0,0
352.0,CASH_IN,348954.24,C1037991231,52851.0,401805.24,C1456664120,0.0,0.0,0.0,1,0,0,0,0
256.0,CASH_IN,252854.17,C202972747,171025.0,423879.17,C2044675481,959856.65,707002.48,0.0,1,0,0,0,0
301.0,CASH_OUT,374608.34,C342910812,14836.0,0.0,C1152227951,895359.52,1269967.86,0.0,0,1,0,0,0
522.0,CASH_OUT,85719.33,C1830238141,12319.0,0.0,C2045595368,0.0,85719.33,0.0,0,1,0,0,0
402.0,CASH_OUT,5840.43,C2095454604,0.0,0.0,C1628020485,260395.49,266235.92,0.0,0,1,0,0,0
261.0,CASH_OUT,3150.61,C281277163,0.0,0.0,C1728499242,259908.39,263059.0,0.0,0,1,0,0,0
308.0,CASH_OUT,188814.13,C580736974,558740.0,369925.87,C1281282226,3382979.81,3571793.93,0.0,0,1,0,0,0
255.0,PAYMENT,7206.59,C1601505066,0.0,0.0,M495157585,0.0,0.0,0.0,0,0,0,1,0
405.0,CASH_IN,7121.36,C414504817,591084.09,598205.45,C422585323,57700.58,50579.22,0.0,1,0,0,0,0
202.0,CASH_IN,175935.07,C915572457,10802.0,186737.07,C1162187045,0.0,0.0,0.0,1,0,0,0,0
140.0,PAYMENT,7202.52,C1541341966,0.0,0.0,M2034634060,0.0,0.0,0.0,0,0,0,1,0
275.0,CASH_OUT,243270.69,C859679790,347580.0,104309.31,C2052499422,11583.67,254854.36,0.0,0,1,0,0,0
225.0,CASH_IN,69104.37,C1292099425,6570765.94,6639870.31,C1430340254,1043370.69,974266.32,0.0,1,0,0,0,0
239.0,CASH_OUT,257470.1,C1686798174,20872.0,0.0,C131873960,2575611.02,2833081.12,0.0,0,1,0,0,0
514.0,PAYMENT,4580.39,C1515147786,335565.33,330984.94,M435073586,0.0,0.0,0.0,0,0,0,1,0
330.0,CASH_OUT,269947.54,C1722494469,9982.0,0.0,C1400878121,5914184.64,6184132.18,0.0,0,1,0,0,0
356.0,CASH_OUT,171542.63,C1327830571,0.0,0.0,C1558776038,913294.44,1084837.07,0.0,0,1,0,0,0
379.0,PAYMENT,227.03,C1945924492,0.0,0.0,M783343264,0.0,0.0,0.0,0,0,0,1,0
283.0,CASH_IN,145346.7,C701434122,5368972.11,5514318.81,C528725828,333976.05,188629.35,0.0,1,0,0,0,0
251.0,PAYMENT,2005.66,C462698685,667860.15,665854.49,M1640002701,0.0,0.0,0.0,0,0,0,1,0
17.0,CASH_IN,240945.34,C1128578230,4799563.42,5040508.76,C571578808,0.0,0.0,0.0,1,0,0,0,0
336.0,PAYMENT,3435.53,C1342513980,21366.0,17930.47,M1486942633,0.0,0.0,0.0,0,0,0,1,0
237.0,CASH_OUT,2309.99,C1265354092,0.0,0.0,C834741793,2351085.2,2353395.19,0.0,0,1,0,0,0
202.0,PAYMENT,6595.06,C1800263939,0.0,0.0,M1451450578,0.0,0.0,0.0,0,0,0,1,0
